transactiondate,product,product_GBU,yearmth,customer_no,billto_customer_name,Extract_Number,customer_no_dupes,bill_to_custname_wo_dupes,st_customer_name,st_customer_no,invoice_no,invoice_type,revenue,cost,Quantity,sale_amount,Profit-Loss
1/23/2023,Incontinence UPC Lead Sets,Uro,202301,1021301,HCA Mission Health Hospital *11.22.24 CONSOLIDATED F2*,2,Cust Info Not Found,Cust Info Not Found,Mission Urology McDowellPO #23767/601/1323,20084768,90374247,Invoice,4680,251.28,6,28080,27828.72
3/7/2023,Freight UR,Uro,202301,1021301,HCA Mission Health Hospital *11.22.24 CONSOLIDATED 1114774*,1114774,Cust Info Not Found,Cust Info Not Found,Mission Urology McDowellPO #23767/601/1323,20084768,90374247,Invoice,25,0,1,25,25
3/26/2023,Spot Ex,GI,202301,1021301,HCA Mission Health Hospital *11.22.24 CONSOLIDATED 1114774*,1114774,Cust Info Not Found,Cust Info Not Found,Angel Medical Centerpo 297246,20197106,90374639,Invoice,345,33.6,10,3450,3416.4
4/3/2023,Optilume Strictures,Uro,202301,1023139,VA Hospital(Lake CityFL) **CONSOLIDATED USE 1023131**,1023131,Cust Info Not Found,Cust Info Not Found,VA Hospital(Lake City FL)Attn: Warehouse 573-Q31314,20079635,90374784,Invoice,0,402,0,0,-402
4/7/2023,Spot Ex,GI,202301,1107644,SANTA MONICA-UCLA MEDICAL CENTER *Consolidated* Use BP# 1022708,1022708,Cust Info Not Found,Cust Info Not Found,SANTA MONICA-UCLA MEDICAL CENTERPO 22666626-0-SMH LUM GILAB,20195982,90374863,Invoice,1035,100.8,30,31050,30949.2
4/17/2023,Spot Ex,GI,202301,1106832,Mayfair Digestive Health Center (GIA) **CONSOLIDATED use 1106610*,1106610,Cust Info Not Found,Cust Info Not Found,Mayfair Digestive Health CenterAttn: Receiving,20194642,90374852,Invoice,380,33.6,10,3800,3766.4
4/17/2023,Spot Ex,GI,202301,1107328,QUEEN OF THE VALLEY MEDICAL CENTER *Consolidated* Use BP# 1020233,1020233,Cust Info Not Found,Cust Info Not Found,CITRUS VALLEY MEDICAL CENTER*Consolidated* Use BP# 20071399,20195452,90374858,Invoice,380,33.6,10,3800,3766.4
4/19/2023,Kiwi,CI,202301,1078795,Mohawk Medbuy Corporation *12.30.24 CONSOLIDATED*,24,Cust Info Not Found,Cust Info Not Found,Southlake Regional Health CentreAttn: Receiving,20163249,90374470,Invoice,400.7,52.76,10,4007,3954.24
4/22/2023,Optilume Strictures,Uro,202301,1023139,VA Hospital(Lake CityFL) **CONSOLIDATED USE 1023131**,1023131,Cust Info Not Found,Cust Info Not Found,VA Hospital(Lake City FL)Attn: Warehouse 573-Q31314,20079635,90374784,Invoice,4190,0,2,8380,8380
4/22/2023,Optilume Strictures,Uro,202301,1023139,VA Hospital(Lake CityFL) **CONSOLIDATED USE 1023131**,1023131,Cust Info Not Found,Cust Info Not Found,VA Hospital(Lake City FL)Attn: Warehouse 573-Q31314,20079635,90374784,Invoice,0,56,0,0,-56
5/3/2023,Optilume Strictures,Uro,202301,1023139,VA Hospital(Lake CityFL) **CONSOLIDATED USE 1023131**,1023131,Cust Info Not Found,Cust Info Not Found,VA Hospital(Lake City FL)Attn: Warehouse 573-Q31314,20079635,90374784,Invoice,0,402,0,0,-402
5/3/2023,Optilume Strictures,Uro,202301,1023139,VA Hospital(Lake CityFL) **CONSOLIDATED USE 1023131**,1023131,Cust Info Not Found,Cust Info Not Found,VA Hospital(Lake City FL)Attn: Warehouse 573-Q31314,20079635,90374784,Invoice,4190,0,2,8380,8380
5/3/2023,Optilume Strictures,Uro,202301,1023139,VA Hospital(Lake CityFL) **CONSOLIDATED USE 1023131**,1023131,Cust Info Not Found,Cust Info Not Found,VA Hospital(Lake City FL)Attn: Warehouse 573-Q31314,20079635,90374784,Invoice,0,56,0,0,-56
5/5/2023,Spot Ex,GI,202301,1107951,VALLEY HOSPITAL *Consolidated* Use BP# 1021836,1021836,Cust Info Not Found,Cust Info Not Found,VALLEY HOSPITAL - RIDGEWOODRECEIVING,20196472,90374871,Invoice,1520,134.4,40,60800,60665.6
5/10/2023,Freight UR,Uro,202301,1078795,Mohawk Medbuy Corporation *12.30.24 CONSOLIDATED*,24,Cust Info Not Found,Cust Info Not Found,Southlake Regional Health CentreAttn: Receiving,20163249,90374470,Invoice,18.62,0,1,18.62,18.62
6/1/2023,Freight UR,Uro,202301,1023139,VA Hospital(Lake CityFL) **CONSOLIDATED USE 1023131**,1023131,Cust Info Not Found,Cust Info Not Found,VA Hospital(Lake City FL)Attn: Warehouse 573-Q31314,20079635,90374784,Invoice,86.67,0,1,86.67,86.67
6/4/2023,Freight UR,Uro,202301,1106832,Mayfair Digestive Health Center (GIA) **CONSOLIDATED use 1106610*,1106610,Cust Info Not Found,Cust Info Not Found,Mayfair Digestive Health CenterAttn: Receiving,20194642,90374852,Invoice,20.19,0,1,20.19,20.19
6/5/2023,Freight UR,Uro,202301,1107328,QUEEN OF THE VALLEY MEDICAL CENTER *Consolidated* Use BP# 1020233,1020233,Cust Info Not Found,Cust Info Not Found,CITRUS VALLEY MEDICAL CENTER*Consolidated* Use BP# 20071399,20195452,90374858,Invoice,9.75,0,1,9.75,9.75
6/5/2023,Freight UR,Uro,202301,1107644,SANTA MONICA-UCLA MEDICAL CENTER *Consolidated* Use BP# 1022708,1022708,Cust Info Not Found,Cust Info Not Found,SANTA MONICA-UCLA MEDICAL CENTERPO 22666626-0-SMH LUM GILAB,20195982,90374863,Invoice,9.75,0,1,9.75,9.75
6/6/2023,Freight UR,Uro,202301,1107951,VALLEY HOSPITAL *Consolidated* Use BP# 1021836,1021836,Cust Info Not Found,Cust Info Not Found,VALLEY HOSPITAL - RIDGEWOODRECEIVING,20196472,90374871,Invoice,9.75,0,1,9.75,9.75
6/25/2023,T-Doc Catheters,Uro,202301,1021301,HCA Mission Health Hospital *11.22.24 CONSOLIDATED 1114774*,1114774,Cust Info Not Found,Cust Info Not Found,Mission UrologyAttn: COID 23769/601,20170555,90375262,Invoice,3790,289,100,379000,378711
